,Mobile title,Memory,Price,Processor
0,"realme C51 (Carbon Black, 64 GB)",4 GB RAM | 64 GB ROM |,"₹7,999",T612 Processor
1,"realme C51 (Mint Green, 128 GB)",4 GB RAM | 128 GB ROM |,"₹9,499",T612 Processor
2,"realme C51 (Mint Green, 64 GB)",4 GB RAM | 64 GB ROM |,"₹7,999",T612 Processor
3,"realme C51 (Carbon Black, 128 GB)",4 GB RAM | 128 GB ROM |,"₹9,499",T612 Processor
4,"realme 12x 5G (Twilight Purple, 128 GB)",8 GB RAM | 128 GB ROM |,"₹14,999", 6100+ Processor
5,"realme P1 5G (Peacock Green, 256 GB)",8 GB RAM | 256 GB ROM |,"₹18,999", 7050 Processor
6,"realme P1 5G (Peacock Green, 128 GB)",6 GB RAM | 128 GB ROM |,"₹15,999", 7050 Processor
7,"realme P1 5G (Phoenix Red, 128 GB)",6 GB RAM | 128 GB ROM |,"₹15,999", 7050 Processor
8,"realme 12x 5G (Twilight Purple, 128 GB)",6 GB RAM | 128 GB ROM |,"₹12,999", 6100+ Processor
9,"realme 12x 5G (Woodland Green, 128 GB)",6 GB RAM | 128 GB ROM |,"₹12,999", 6100+ Processor
10,"realme P1 5G (Phoenix Red, 256 GB)",8 GB RAM | 256 GB ROM |,"₹18,999", 7050 Processor
11,"realme 12x 5G (Woodland Green, 128 GB)",8 GB RAM | 128 GB ROM |,"₹14,999", 6100+ Processor
12,"realme P1 5G (Phoenix Red, 128 GB)",8 GB RAM | 128 GB ROM |,"₹16,999", 7050 Processor
13,"realme P1 5G (Peacock Green, 128 GB)",8 GB RAM | 128 GB ROM |,"₹16,999", 7050 Processor
14,"realme C53 (Champion Black, 64 GB)",6 GB RAM | 64 GB ROM |,"₹10,999",T612 Processor
15,"realme C53 (Champion Black, 128 GB)",6 GB RAM | 128 GB ROM |,"₹9,999",T612 Processor
16,"realme C53 (Champion Gold, 64 GB)",6 GB RAM | 64 GB ROM |,"₹10,999",T612 Processor
17,"realme C53 (Champion Gold, 128 GB)",6 GB RAM | 128 GB ROM |,"₹9,999",T612 Processor
18,"realme C53 (Champion Black, 128 GB)",4 GB RAM | 128 GB ROM |,"₹8,999",T612 Processor
19,"realme C53 (Champion Gold, 128 GB)",4 GB RAM | 128 GB ROM |,"₹8,999",T612 Processor
20,"realme 12 Pro+ 5G (Navigator Beige, 256 GB)",12 GB RAM | 256 GB ROM,"₹31,999",Snapdragon 7s Gen 2 Processor
21,"realme C65 5G (Glowing Black, 128 GB)",4 GB RAM | 128 GB ROM |,"₹11,499", 6300 Processor
22,"realme C65 5G (Feather Green, 128 GB)",6 GB RAM | 128 GB ROM |,"₹12,499", 6300 Processor
23,"realme C65 5G (Glowing Black, 128 GB)",6 GB RAM | 128 GB ROM |,"₹12,499", 6300 Processor
